age,job,marital,education,balance,housing,loan,duration,campaign,pdays,poutcome,y
33,blue-collar,married,primary,511,yes,no,304,2,-1,unknown,no
38,admin.,married,primary,3913,yes,no,196,2,315,failure,no
32,technician,divorced,secondary,197,yes,no,,2,-1,unknown,no
54,retired,divorced,tertiary,612,yes,yes,86,6,-1,unknown,no
51,admin.,divorced,secondary,34,yes,no,186,1,-1,unknown,no
42,blue-collar,married,primary,-119,yes,no,167,3,-1,unknown,no
41,admin.,married,secondary,2993,yes,no,24,12,-1,unknown,no
39,management,divorced,tertiary,3575,no,yes,74,3,-1,unknown,no
38,blue-collar,married,secondary,361,yes,no,601,1,-1,unknown,no
39,management,married,secondary,172,yes,no,1168,2,-1,unknown,no
46,blue-collar,married,primary,294,no,no,277,2,-1,unknown,
50,entrepreneur,divorced,tertiary,179,,yes,748,3,-1,unknown,no
33,blue-collar,married,secondary,86,yes,no,364,1,-1,unknown,no
37,technician,married,secondary,1633,yes,no,229,3,-1,unknown,no
31,management,married,tertiary,8312,no,no,43,13,-1,unknown,no
,blue-collar,divorced,unknown,172,no,no,177,1,-1,unknown,yes
,management,married,tertiary,,yes,no,262,1,99,success,yes
36,management,married,tertiary,222,yes,no,317,1,169,failure,no
40,technician,married,secondary,19,no,no,402,22,-1,unknown,no
40,blue-collar,married,secondary,1451,no,no,314,1,-1,unknown,yes
41,technician,married,secondary,166,no,no,109,3,-1,unknown,yes
52,management,married,tertiary,3163,no,no,56,6,-1,unknown,no
40,services,single,secondary,888,yes,no,169,2,-1,unknown,no
48,blue-collar,single,unknown,428,yes,no,127,1,-1,unknown,no
33,management,divorced,secondary,16,no,no,175,3,-1,unknown,no
44,technician,divorced,secondary,,no,no,56,2,-1,unknown,no
55,management,married,tertiary,979,no,yes,123,1,-1,unknown,
51,admin.,married,secondary,2662,no,no,148,2,-1,unknown,no
,management,single,tertiary,84,no,no,231,1,-1,unknown,no
58,retired,divorced,unknown,592,yes,no,255,1,-1,unknown,no
39,management,single,tertiary,816,yes,no,37,3,-1,unknown,no
27,unemployed,single,secondary,3276,no,no,106,1,110,other,no
55,management,divorced,unknown,2,yes,no,95,1,-1,unknown,no
,technician,single,secondary,-51,no,no,134,2,-1,unknown,no
37,technician,single,tertiary,3315,yes,no,820,2,-1,unknown,no
52,technician,married,secondary,196,yes,yes,116,1,273,failure,no
41,blue-collar,married,secondary,552,yes,no,463,1,-1,unknown,no
52,admin.,married,secondary,2347,no,yes,603,3,-1,unknown,no
,blue-collar,single,secondary,3723,yes,no,47,5,-1,unknown,no
,management,divorced,primary,255,no,no,126,1,-1,unknown,no
33,management,single,tertiary,3143,no,no,421,2,-1,unknown,yes
47,self-employed,married,secondary,,no,no,174,8,-1,unknown,no
,blue-collar,married,secondary,6411,,yes,144,1,266,failure,
33,management,single,tertiary,199,no,no,191,2,-1,unknown,no
55,blue-collar,married,primary,3873,no,no,,1,-1,unknown,no
58,self-employed,married,primary,113,yes,no,206,1,461,failure,yes
44,admin.,,secondary,262,yes,no,74,1,-1,unknown,no
25,services,single,secondary,3217,yes,no,24,1,-1,unknown,no
37,technician,single,secondary,5436,yes,no,7,11,351,failure,no
41,blue-collar,married,primary,267,yes,no,493,7,-1,unknown,no
,blue-collar,single,secondary,215,,no,350,3,-1,unknown,yes
36,services,divorced,secondary,1594,no,no,250,3,-1,unknown,no
44,self-employed,married,tertiary,134,no,no,86,4,-1,unknown,
,entrepreneur,divorced,tertiary,262,no,no,371,1,-1,unknown,no
56,blue-collar,divorced,primary,321,no,no,419,2,-1,unknown,no
43,management,divorced,tertiary,388,yes,no,2087,2,-1,unknown,yes
28,blue-collar,single,secondary,3412,yes,no,22,4,-1,unknown,no
54,blue-collar,married,secondary,1291,yes,no,266,1,-1,unknown,no
37,technician,divorced,secondary,79,no,no,191,1,-1,unknown,no
59,self-employed,married,tertiary,213,no,no,222,4,94,success,yes
58,blue-collar,divorced,secondary,543,no,yes,264,3,-1,unknown,no
56,management,divorced,tertiary,116,yes,no,184,5,-1,unknown,no
32,blue-collar,single,secondary,64,no,yes,95,3,-1,unknown,no
42,management,single,tertiary,525,no,no,,2,-1,unknown,no
52,retired,divorced,primary,353,no,no,395,4,-1,unknown,no
46,management,married,tertiary,964,yes,no,174,1,-1,unknown,no
37,admin.,married,tertiary,3913,yes,no,124,1,-1,unknown,yes
39,blue-collar,married,primary,879,yes,no,102,2,-1,unknown,no
31,admin.,married,secondary,314,yes,no,279,1,-1,unknown,
59,housemaid,married,primary,,no,no,76,11,-1,unknown,
38,blue-collar,married,secondary,137,yes,no,472,2,-1,unknown,no
58,management,married,secondary,37,no,no,84,11,-1,unknown,no
,management,single,tertiary,673,yes,yes,271,1,184,failure,no
40,services,married,secondary,-342,yes,no,754,1,-1,unknown,no
20,student,single,secondary,291,no,no,172,5,371,failure,
,technician,married,secondary,29,yes,yes,375,2,-1,unknown,no
31,technician,single,tertiary,438,yes,no,130,2,-1,unknown,
39,admin.,single,secondary,1242,yes,no,303,3,-1,unknown,no
,entrepreneur,married,tertiary,355,yes,no,261,1,-1,unknown,no
,blue-collar,married,secondary,24,yes,yes,229,3,-1,unknown,
41,management,married,tertiary,1758,yes,no,288,1,-1,unknown,no
40,management,married,tertiary,5,yes,no,219,3,-1,unknown,no
45,technician,single,secondary,41,yes,no,891,4,-1,unknown,yes
36,management,married,tertiary,65,yes,no,204,1,-1,unknown,no
,management,married,tertiary,4,no,no,19,6,-1,unknown,no
23,student,single,secondary,8494,no,no,158,2,-1,unknown,no
42,entrepreneur,married,primary,198,yes,no,314,1,-1,unknown,no
48,blue-collar,married,secondary,841,yes,no,215,1,-1,unknown,no
,management,married,tertiary,8,no,no,169,4,-1,unknown,no
36,admin.,married,secondary,47,yes,no,101,4,-1,unknown,no
43,retired,married,secondary,52,yes,no,15,13,-1,unknown,no
36,blue-collar,married,secondary,439,,no,260,5,-1,unknown,no
49,blue-collar,married,secondary,-454,yes,no,558,1,-1,unknown,yes
55,retired,married,secondary,466,no,no,287,4,-1,unknown,no
,retired,married,secondary,665,yes,no,371,2,-1,unknown,yes
42,technician,married,secondary,994,,no,149,1,78,failure,yes
45,admin.,married,secondary,5346,yes,yes,187,1,-1,unknown,yes
31,blue-collar,married,secondary,1243,yes,no,32,1,-1,unknown,no
32,admin.,married,tertiary,,yes,no,138,1,-1,unknown,no
36,blue-collar,married,secondary,2357,yes,no,228,2,-1,unknown,
56,retired,married,secondary,144,no,no,353,2,-1,unknown,yes
46,admin.,married,secondary,169,yes,no,45,2,-1,unknown,no
41,housemaid,single,secondary,231,no,no,76,2,-1,unknown,no
31,admin.,married,secondary,,yes,yes,,2,-1,unknown,no
32,technician,married,secondary,266,,no,168,2,-1,unknown,no
38,management,married,tertiary,-7,yes,no,140,1,2,other,no
49,retired,single,primary,25824,no,no,94,1,-1,unknown,no
46,management,single,primary,538,no,no,118,3,-1,unknown,
29,technician,single,secondary,534,yes,no,382,1,-1,unknown,no
36,admin.,married,unknown,2323,no,no,111,1,-1,unknown,no
38,admin.,married,secondary,1852,yes,no,298,2,-1,unknown,no
,technician,,secondary,2647,yes,no,121,1,-1,unknown,no
43,management,married,tertiary,2767,yes,no,317,7,-1,unknown,no
41,management,married,tertiary,176,yes,yes,42,1,-1,unknown,no
42,management,single,secondary,972,no,no,81,2,-1,unknown,no
55,blue-collar,divorced,secondary,1613,yes,no,296,1,270,failure,yes
39,admin.,divorced,secondary,293,yes,yes,259,2,-1,unknown,no
30,admin.,single,secondary,81,yes,no,121,6,112,other,no
41,blue-collar,married,secondary,78,yes,no,432,3,-1,unknown,no
44,unemployed,married,tertiary,178,no,no,126,2,-1,unknown,no
58,management,married,tertiary,299,no,no,120,4,-1,unknown,no
,retired,married,primary,285,yes,no,136,1,-1,unknown,no
27,blue-collar,married,secondary,872,yes,no,1130,3,-1,unknown,no
,services,married,secondary,1337,no,no,330,2,127,success,yes
25,services,married,secondary,72,yes,no,305,2,-1,unknown,no
36,blue-collar,married,secondary,,no,no,332,3,-1,unknown,no
38,blue-collar,married,secondary,-388,yes,no,412,1,-1,unknown,no
30,admin.,married,secondary,11,yes,no,157,1,-1,unknown,
47,blue-collar,divorced,secondary,-535,yes,no,71,2,-1,unknown,no
41,services,divorced,secondary,787,,no,297,2,-1,unknown,no
36,management,single,tertiary,3343,no,no,307,1,-1,unknown,no
63,entrepreneur,married,secondary,394,no,no,250,2,187,success,yes
23,management,single,tertiary,736,yes,no,119,1,-1,unknown,no
32,management,married,tertiary,139,no,no,116,2,-1,unknown,no
57,retired,married,primary,88,,no,274,1,-1,unknown,no
48,management,married,tertiary,1147,no,no,389,1,64,success,yes
49,services,married,secondary,1122,no,no,143,1,-1,unknown,no
50,technician,married,secondary,-568,yes,yes,860,2,-1,unknown,no
33,blue-collar,married,primary,1165,yes,no,420,2,-1,unknown,no
,services,divorced,secondary,-95,yes,no,213,1,-1,unknown,no
30,unemployed,married,tertiary,,yes,no,756,1,-1,unknown,no
38,technician,married,secondary,74,no,no,259,3,-1,unknown,
44,management,married,secondary,8262,yes,no,201,16,-1,unknown,
39,admin.,single,secondary,14,yes,yes,19,9,-1,unknown,no
45,technician,single,unknown,718,yes,yes,53,1,172,failure,
36,blue-collar,married,secondary,149,yes,no,224,4,-1,unknown,yes
38,blue-collar,married,secondary,,yes,no,57,5,349,other,no
36,housemaid,married,secondary,419,yes,no,251,1,-1,unknown,no
30,management,single,tertiary,726,yes,no,39,1,342,failure,no
28,technician,,tertiary,594,,yes,54,3,-1,unknown,no
26,unemployed,married,tertiary,454,yes,yes,28,18,-1,unknown,no
54,unknown,married,secondary,226,no,no,104,1,99,other,yes
38,admin.,married,tertiary,1988,no,no,164,2,130,failure,yes
32,technician,single,tertiary,,no,no,268,2,-1,unknown,no
50,admin.,,secondary,22,no,yes,148,1,-1,unknown,no
43,blue-collar,married,secondary,667,yes,no,228,3,-1,unknown,no
48,admin.,married,secondary,112,no,no,139,5,-1,unknown,no
57,housemaid,married,primary,5,no,no,89,3,-1,unknown,no
64,housemaid,married,primary,768,no,no,250,2,182,success,no
26,services,divorced,secondary,74,yes,no,106,6,-1,unknown,no
33,blue-collar,married,secondary,661,yes,no,968,1,-1,unknown,yes
50,self-employed,married,secondary,325,no,yes,168,3,-1,unknown,no
47,self-employed,married,tertiary,751,no,no,408,14,-1,unknown,no
39,management,single,tertiary,416,no,no,56,4,-1,unknown,no
52,services,married,primary,14,no,yes,55,5,-1,unknown,no
31,blue-collar,single,primary,-52,yes,no,76,4,-1,unknown,no
50,blue-collar,married,primary,,no,no,72,5,-1,unknown,no
47,technician,married,secondary,599,yes,no,99,3,-1,unknown,no
30,management,single,tertiary,-218,yes,no,13,15,-1,unknown,no
32,technician,single,tertiary,112,no,no,178,1,-1,unknown,no
36,technician,married,secondary,3,no,no,287,1,-1,unknown,no
46,technician,married,tertiary,217,yes,no,141,1,346,other,
45,management,divorced,tertiary,296,,no,127,1,100,failure,no
37,technician,single,secondary,,,no,69,2,-1,unknown,
58,housemaid,married,primary,5278,yes,no,763,4,-1,unknown,no
59,management,married,tertiary,1831,no,no,122,1,92,failure,no
28,management,married,tertiary,148,yes,no,143,1,-1,unknown,
48,management,married,tertiary,7289,,no,316,3,-1,unknown,no
55,blue-collar,married,unknown,1665,no,no,89,2,-1,unknown,no
37,blue-collar,single,primary,851,yes,no,151,1,352,failure,
41,management,married,tertiary,2885,no,no,40,1,-1,unknown,no
,blue-collar,married,secondary,137,no,yes,5,1,808,failure,no
,blue-collar,single,secondary,1239,yes,no,90,1,-1,unknown,no
43,management,single,tertiary,146,no,no,50,1,113,other,no
59,technician,married,secondary,1,no,no,,2,378,failure,
50,blue-collar,divorced,primary,-1,no,yes,369,6,-1,unknown,
37,technician,married,secondary,48,no,no,344,2,182,other,yes
,technician,married,secondary,2789,yes,no,256,2,94,failure,no
50,technician,single,secondary,3897,no,no,298,1,-1,unknown,no
36,technician,divorced,secondary,487,no,yes,268,3,-1,unknown,no
41,admin.,married,secondary,511,yes,no,231,1,-1,unknown,no
28,management,married,tertiary,318,yes,no,4,4,-1,unknown,no
42,technician,single,tertiary,-411,yes,no,78,5,292,failure,no
60,retired,married,secondary,482,no,no,419,1,-1,unknown,no
28,management,single,tertiary,4937,yes,no,421,3,-1,unknown,no
48,entrepreneur,married,secondary,725,no,yes,105,1,-1,unknown,no
51,entrepreneur,married,tertiary,543,no,no,42,1,-1,unknown,no
32,technician,married,tertiary,489,no,no,114,7,287,failure,no
,technician,married,tertiary,188,no,no,286,2,-1,unknown,no
37,technician,married,unknown,189,,no,238,1,107,success,yes
38,blue-collar,divorced,secondary,2998,yes,no,91,1,-1,unknown,no
,retired,married,secondary,61,no,no,766,3,-1,unknown,no
32,management,single,unknown,787,no,no,92,1,-1,unknown,no
43,technician,divorced,secondary,167,no,no,211,3,-1,unknown,no
36,management,single,tertiary,243,yes,no,160,2,360,failure,no
29,management,married,tertiary,877,no,no,166,3,-1,unknown,no
32,admin.,single,secondary,2817,yes,no,195,1,-1,unknown,no
41,management,divorced,tertiary,4567,yes,yes,106,1,-1,unknown,no
26,services,single,secondary,127,yes,yes,85,3,-1,unknown,no
,blue-collar,,primary,176,no,no,,1,-1,unknown,no
57,retired,married,tertiary,,yes,yes,648,1,-1,unknown,yes
36,services,single,secondary,1482,yes,no,177,2,174,other,no
42,blue-collar,married,secondary,352,yes,no,32,1,-1,unknown,no
,technician,divorced,secondary,56,no,no,24,12,-1,unknown,no
52,entrepreneur,divorced,primary,278,yes,no,688,2,-1,unknown,no
36,management,single,tertiary,3875,yes,no,21,5,-1,unknown,no
46,technician,married,secondary,-337,yes,no,112,1,-1,unknown,no
60,management,divorced,tertiary,366,no,no,593,1,-1,unknown,yes
57,housemaid,married,primary,51,yes,yes,59,2,-1,unknown,no
48,management,married,tertiary,998,yes,no,121,3,-1,unknown,no
59,self-employed,married,primary,,yes,no,97,2,-1,unknown,no
39,management,married,tertiary,246,no,no,86,2,-1,unknown,no
44,blue-collar,married,secondary,-182,yes,yes,10,10,-1,unknown,no
27,management,single,tertiary,446,,no,205,3,-1,unknown,no
59,retired,married,secondary,1173,no,no,77,2,-1,unknown,no
36,technician,divorced,secondary,5957,yes,no,138,2,-1,unknown,no
44,admin.,married,secondary,25,no,no,289,1,-1,unknown,yes
50,admin.,married,secondary,,no,no,86,4,-1,unknown,no
41,management,divorced,tertiary,369,yes,no,9,3,-1,unknown,no
47,admin.,married,secondary,1934,no,yes,225,1,364,failure,no
32,technician,single,tertiary,259,no,no,407,4,-1,unknown,
38,blue-collar,married,secondary,284,yes,yes,1030,6,-1,unknown,no
55,blue-collar,married,unknown,23,no,no,123,2,-1,unknown,no
38,management,single,tertiary,1373,no,no,119,4,-1,unknown,no
31,management,single,tertiary,62,yes,no,175,1,293,failure,no
38,blue-collar,divorced,secondary,157,,no,299,5,-1,unknown,no
29,unemployed,single,tertiary,991,no,no,563,1,-1,unknown,no
55,services,married,secondary,186,yes,yes,241,1,-1,unknown,no
,unemployed,married,secondary,977,yes,no,52,4,91,other,no
40,self-employed,single,tertiary,2893,no,no,76,3,-1,unknown,no
,blue-collar,married,secondary,1897,yes,yes,441,1,-1,unknown,no
32,technician,single,tertiary,5514,no,no,319,1,182,success,yes
33,blue-collar,married,secondary,889,yes,no,13,1,373,success,no
33,management,married,tertiary,273,yes,no,803,1,-1,unknown,yes
37,admin.,married,secondary,1193,no,no,396,2,-1,unknown,no
58,management,married,tertiary,2729,no,no,188,1,-1,unknown,no
36,admin.,single,secondary,,no,no,637,1,-1,unknown,no
42,blue-collar,married,secondary,23,yes,no,175,7,-1,unknown,no
,technician,single,secondary,2729,yes,no,945,1,139,success,no
,management,married,tertiary,317,yes,no,162,3,-1,unknown,no
60,housemaid,married,primary,517,no,no,1178,3,-1,unknown,no
50,management,married,tertiary,-47,yes,no,506,2,170,failure,no
28,self-employed,single,tertiary,4579,no,no,409,2,-1,unknown,yes
27,blue-collar,divorced,secondary,1,yes,no,116,3,-1,unknown,no
37,management,married,tertiary,516,no,no,244,1,-1,unknown,yes
31,technician,married,tertiary,636,yes,no,352,4,-1,unknown,yes
,services,married,secondary,176,,no,152,1,182,success,
38,management,married,tertiary,126,yes,no,164,2,-1,unknown,no
32,self-employed,married,secondary,-33,yes,no,234,3,-1,unknown,no
37,technician,married,secondary,43,no,no,154,4,-1,unknown,no
33,admin.,married,secondary,-6,yes,no,566,2,-1,unknown,no
71,technician,married,tertiary,383,no,no,327,2,183,success,no
27,technician,married,secondary,13,yes,no,265,3,-1,unknown,no
38,blue-collar,married,primary,2569,no,no,172,1,-1,unknown,no
,technician,single,secondary,21,no,no,257,2,-1,unknown,
54,retired,divorced,tertiary,,no,no,618,1,-1,unknown,yes
30,blue-collar,married,secondary,6,yes,no,241,3,-1,unknown,no
,entrepreneur,single,secondary,475,no,yes,,4,-1,unknown,no
33,blue-collar,single,secondary,76,yes,no,329,1,322,failure,no
36,management,married,secondary,1825,,no,24,1,346,failure,no
59,self-employed,married,tertiary,185,no,no,177,5,138,failure,no
72,blue-collar,married,primary,4415,no,no,120,1,-1,unknown,no
64,management,married,tertiary,679,no,no,135,3,-1,unknown,
,technician,divorced,secondary,32,no,no,175,1,-1,unknown,no
,management,single,tertiary,2988,yes,no,179,1,-1,unknown,no
58,self-employed,married,secondary,147,yes,no,58,1,-1,unknown,no
40,technician,married,secondary,127,no,no,342,2,-1,unknown,no
41,services,,secondary,654,yes,no,139,2,-1,unknown,no
48,retired,married,primary,5173,yes,no,88,8,-1,unknown,no
44,entrepreneur,married,tertiary,3463,yes,yes,210,3,-1,unknown,no
39,blue-collar,married,unknown,,no,no,731,1,193,failure,no
61,management,married,tertiary,616,no,no,670,3,-1,unknown,yes
36,entrepreneur,married,primary,177,yes,no,63,5,-1,unknown,no
28,management,married,tertiary,3694,no,yes,70,2,-1,unknown,no
58,retired,single,secondary,164,,yes,72,6,274,failure,no
60,admin.,divorced,secondary,174,yes,no,241,1,364,failure,
66,admin.,single,secondary,1177,no,no,272,4,-1,unknown,
36,management,single,tertiary,49,no,no,207,8,98,failure,yes
49,self-employed,married,secondary,2576,,no,,6,-1,unknown,no
40,services,married,secondary,,no,no,543,2,-1,unknown,no
23,technician,single,secondary,598,no,no,166,1,-1,unknown,no
29,management,single,tertiary,15459,no,no,245,3,97,success,no
44,blue-collar,,primary,271,yes,yes,94,1,-1,unknown,
54,unknown,married,unknown,258,no,no,34,8,-1,unknown,no
47,blue-collar,married,primary,32,no,no,203,2,-1,unknown,no
33,admin.,married,tertiary,64,no,no,318,1,-1,unknown,no
30,self-employed,married,secondary,1772,yes,no,158,4,-1,unknown,
27,admin.,single,secondary,15,no,yes,177,1,-1,unknown,
49,management,divorced,tertiary,237,yes,yes,56,1,103,other,
27,services,single,secondary,21,yes,no,172,2,-1,unknown,
51,blue-collar,married,secondary,16,yes,no,136,1,359,failure,no
32,admin.,divorced,secondary,5,yes,yes,82,3,363,other,no
30,blue-collar,single,secondary,75,yes,no,123,1,-1,unknown,no
33,admin.,married,secondary,492,yes,no,110,1,-1,unknown,no
27,blue-collar,,primary,-79,yes,no,385,5,-1,unknown,
75,retired,divorced,secondary,1341,no,no,415,7,-1,unknown,yes
37,services,divorced,secondary,49,yes,no,73,1,-1,unknown,no
36,technician,single,secondary,1521,yes,no,243,2,-1,unknown,no
37,blue-collar,married,secondary,131,yes,no,137,2,-1,unknown,no
,management,married,tertiary,8,yes,no,55,4,-1,unknown,no
32,services,married,secondary,-632,yes,yes,18,5,-1,unknown,no
32,admin.,single,secondary,116,no,yes,255,2,-1,unknown,no
,admin.,married,primary,189,yes,no,95,1,-1,unknown,no
31,blue-collar,married,primary,2,yes,yes,112,1,-1,unknown,no
28,blue-collar,single,secondary,4229,yes,yes,205,2,-1,unknown,no
27,services,married,secondary,54,yes,no,97,1,370,failure,no
22,student,single,unknown,549,no,no,154,1,-1,unknown,no
,blue-collar,married,primary,298,yes,no,135,2,370,failure,no
69,retired,married,primary,579,no,no,230,1,-1,unknown,
37,entrepreneur,single,tertiary,1467,yes,yes,349,1,-1,unknown,no
45,admin.,single,secondary,,yes,no,38,1,-1,unknown,
47,management,married,tertiary,19,yes,no,268,1,-1,unknown,no
52,management,married,tertiary,-11,yes,no,94,4,-1,unknown,no
33,services,married,secondary,9,yes,no,263,2,-1,unknown,no
60,blue-collar,married,primary,493,no,no,671,4,-1,unknown,yes
33,management,divorced,secondary,1897,yes,yes,197,1,-1,unknown,
44,admin.,married,secondary,243,yes,no,,2,-1,unknown,no
38,entrepreneur,married,secondary,868,no,no,452,2,-1,unknown,no
54,entrepreneur,married,secondary,653,yes,no,352,1,-1,unknown,no
32,unemployed,divorced,primary,,no,no,175,4,-1,unknown,no
33,technician,married,secondary,,,yes,163,2,-1,unknown,no
55,services,divorced,secondary,218,yes,no,200,2,-1,unknown,no
51,blue-collar,married,primary,55,no,yes,75,7,-1,unknown,no
48,blue-collar,married,secondary,741,yes,no,227,1,-1,unknown,no
37,services,single,secondary,15,yes,no,586,3,-1,unknown,no
33,services,single,secondary,-56,no,yes,119,5,-1,unknown,
30,blue-collar,married,primary,1,yes,yes,80,2,-1,unknown,
43,blue-collar,married,primary,-98,yes,yes,112,2,330,other,
49,technician,married,secondary,4667,yes,no,130,2,-1,unknown,no
54,unemployed,married,primary,541,yes,no,237,3,-1,unknown,no
31,unemployed,married,tertiary,7744,no,no,377,8,-1,unknown,no
54,unknown,married,unknown,895,,no,335,1,-1,unknown,yes
36,unemployed,married,secondary,-129,yes,no,121,3,-1,unknown,no
30,admin.,married,secondary,,no,no,127,5,-1,unknown,no
27,technician,single,secondary,158,no,no,650,2,-1,unknown,yes
30,admin.,married,secondary,122,yes,no,107,1,-1,unknown,no
30,blue-collar,married,secondary,673,yes,no,610,2,-1,unknown,no
,technician,divorced,secondary,,no,no,124,4,-1,unknown,no
33,services,divorced,secondary,411,yes,no,216,1,-1,unknown,no
43,blue-collar,divorced,primary,-97,yes,yes,747,4,-1,unknown,no
41,blue-collar,married,secondary,-217,yes,no,313,1,349,other,no
41,management,divorced,tertiary,537,no,no,252,9,185,other,yes
46,admin.,divorced,secondary,2232,no,no,121,1,-1,unknown,yes
54,blue-collar,married,secondary,-932,yes,no,799,1,-1,unknown,no
32,management,married,tertiary,913,yes,no,883,1,674,failure,no
30,technician,single,tertiary,236,yes,no,197,1,-1,unknown,no
40,entrepreneur,married,primary,,yes,no,271,2,-1,unknown,no
30,blue-collar,married,primary,2581,no,no,221,2,-1,unknown,no
27,admin.,married,secondary,639,no,yes,243,3,-1,unknown,no
41,blue-collar,married,primary,849,yes,no,72,1,-1,unknown,no
54,services,married,secondary,386,yes,no,155,2,-1,unknown,no
32,management,single,tertiary,1218,yes,no,70,2,-1,unknown,no
31,management,married,tertiary,263,yes,no,280,4,-1,unknown,
42,blue-collar,married,secondary,-921,yes,no,115,2,-1,unknown,no
48,admin.,married,primary,67,no,no,29,2,-1,unknown,no
,blue-collar,married,primary,79,yes,no,406,2,-1,unknown,no
55,technician,divorced,secondary,61,yes,yes,113,3,-1,unknown,no
49,technician,married,secondary,191,no,no,47,2,-1,unknown,no
46,management,divorced,tertiary,743,no,no,36,2,-1,unknown,no
47,entrepreneur,married,unknown,29,yes,no,135,2,-1,unknown,no
,management,single,tertiary,172,no,no,67,2,-1,unknown,
58,entrepreneur,married,secondary,2,no,no,684,1,-1,unknown,no
32,management,single,tertiary,41,no,no,686,5,-1,unknown,yes
25,student,single,secondary,1116,yes,no,,3,-1,unknown,no
49,blue-collar,married,secondary,-55,no,no,150,3,-1,unknown,no
59,retired,divorced,secondary,5845,no,no,1060,2,-1,unknown,yes
30,management,,tertiary,329,yes,no,122,16,-1,unknown,no
46,blue-collar,married,secondary,494,yes,no,724,1,-1,unknown,
42,management,married,unknown,1519,no,no,230,1,92,success,yes
37,entrepreneur,married,tertiary,2685,no,no,187,2,-1,unknown,no
44,blue-collar,married,primary,-14,yes,yes,179,4,-1,unknown,no
49,services,married,secondary,5673,no,yes,357,3,-1,unknown,no
41,blue-collar,married,secondary,1459,no,no,82,1,-1,unknown,no
48,technician,married,tertiary,,no,no,176,15,-1,unknown,no
31,management,married,secondary,625,yes,no,424,1,138,failure,no
37,student,married,unknown,,no,no,115,1,-1,unknown,no
51,services,married,secondary,867,yes,no,177,2,211,failure,no
80,retired,married,secondary,834,no,no,,1,64,failure,
32,management,single,tertiary,151,yes,no,,1,-1,unknown,no
48,services,married,primary,-583,,no,25,7,-1,unknown,no
49,blue-collar,married,tertiary,1784,no,no,753,1,-1,unknown,no
30,management,married,tertiary,3134,yes,no,124,1,-1,unknown,no
27,self-employed,single,secondary,49,yes,no,,2,-1,unknown,no
,technician,married,secondary,-346,no,no,136,4,-1,unknown,no
49,management,married,secondary,1623,yes,no,1081,2,-1,unknown,yes
48,management,married,tertiary,6,no,no,376,2,339,failure,no
40,services,married,secondary,17,no,no,78,1,-1,unknown,no
38,blue-collar,married,secondary,28,yes,no,354,1,-1,unknown,no
46,blue-collar,married,primary,91,yes,no,29,1,356,failure,no
41,entrepreneur,married,tertiary,171,yes,no,209,1,191,failure,no
28,management,single,tertiary,127,yes,no,433,1,-1,unknown,no
51,services,married,unknown,581,yes,no,147,2,-1,unknown,no
33,blue-collar,divorced,primary,142,yes,no,41,2,300,failure,no
26,management,single,tertiary,25,no,no,111,1,-1,unknown,no
,admin.,single,secondary,852,no,no,108,2,-1,unknown,no
27,blue-collar,married,secondary,-584,yes,no,411,2,-1,unknown,no
42,self-employed,married,secondary,97,no,no,108,2,-1,unknown,no
45,admin.,married,secondary,24,yes,no,224,2,-1,unknown,yes
31,technician,single,secondary,628,yes,no,1083,2,-1,unknown,no
32,management,single,tertiary,311,no,no,757,2,-1,unknown,
39,blue-collar,married,primary,1564,no,no,57,1,-1,unknown,no
26,blue-collar,single,secondary,856,yes,yes,95,5,-1,unknown,no
40,management,single,tertiary,159,no,no,144,2,124,failure,no
52,services,married,secondary,-888,no,no,135,1,-1,unknown,no
40,technician,single,tertiary,226,no,no,176,2,-1,unknown,no
48,technician,married,secondary,127,no,yes,524,5,-1,unknown,no
31,services,married,secondary,413,yes,no,65,1,-1,unknown,
27,admin.,married,secondary,71,yes,yes,,1,334,success,yes
47,technician,married,secondary,1233,yes,no,91,1,100,other,
28,management,single,secondary,171,no,no,93,1,-1,unknown,yes
40,management,divorced,tertiary,69,yes,no,503,2,280,failure,no
,admin.,married,secondary,1499,yes,no,186,1,327,failure,
29,self-employed,married,tertiary,751,yes,no,121,2,-1,unknown,
36,management,married,tertiary,61,no,yes,452,2,-1,unknown,no
83,retired,married,primary,425,no,no,883,1,140,failure,yes
55,services,,primary,2923,yes,no,104,2,-1,unknown,no
43,management,divorced,tertiary,99,no,no,24,3,-1,unknown,no
23,student,single,secondary,121,no,no,79,9,-1,unknown,no
44,technician,married,tertiary,1146,no,no,178,2,-1,unknown,no
58,blue-collar,married,primary,781,yes,no,74,2,-1,unknown,no
29,admin.,single,secondary,1448,no,no,217,1,184,other,no
30,management,single,tertiary,64,no,yes,475,1,-1,unknown,no
29,admin.,single,secondary,-194,yes,no,127,1,-1,unknown,no
41,technician,married,secondary,,no,no,101,1,-1,unknown,
,housemaid,married,primary,,yes,no,340,3,-1,unknown,no
31,technician,single,secondary,114,yes,no,158,4,-1,unknown,no
27,admin.,single,tertiary,73,no,no,242,1,-1,unknown,no
47,services,married,secondary,2597,yes,no,323,1,-1,unknown,no
,self-employed,married,tertiary,2627,,yes,18,30,-1,unknown,no
,management,married,tertiary,196,yes,no,68,3,-1,unknown,
,blue-collar,married,primary,-319,yes,yes,134,4,-1,unknown,no
36,management,married,tertiary,-296,yes,no,113,3,-1,unknown,
40,technician,married,secondary,169,yes,no,43,4,-1,unknown,no
